index,district_name_th,population,area_km2
1,คลองเตย,106233,12.994
2,คลองสาน,74796,6.051
3,คลองสามวา,184306,110.686
4,คันนายาว,94242,25.98
5,จตุจักร,159514,32.908
6,จอมทอง,155048,26.256
7,ดอนเมือง,168278,36.803
8,ดินแดง,125964,8.354
9,ดุสิต,101576,10.665
10,ตลิ่งชัน,105613,29.479
11,ทวีวัฒนา,77604,50.219
12,ทุ่งครุ,120613,30.741
13,ธนบุรี,113338,8.551
14,บางเขน,190483,42.123
15,บางแค,192281,44.456
16,บางกอกใหญ่,69349,6.18
17,บางกอกน้อย,115202,11.944
18,บางกะปิ,149102,28.523
19,บางขุนเทียน,176724,120.687
20,บางคอแหลม,91405,10.921
21,บางซื่อ,127716,11.545
22,บางนา,93297,18.789
23,บางบอน,107397,34.745
24,บางพลัด,95478,11.36
25,บางรัก,46777,5.536
26,บึงกุ่ม,144661,24.311
27,ปทุมวัน,50673,8.369
28,ประเวศ,169212,52.49
29,ป้อมปราบศัตรูพ่าย,48585,1.931
30,พญาไท,71864,9.595
31,พระโขนง,92197,13.986
32,พระนคร,53899,5.536
33,ภาษีเจริญ,128461,17.834
34,มีนบุรี,140702,63.645
35,ยานนาวา,80211,16.662
36,ราชเทวี,73597,7.126
37,ราษฎร์บูรณะ,84157,15.782
38,ลาดกระบัง,170070,123.859
39,ลาดพร้าว,121843,22.157
40,วังทองหลาง,113521,19.265
41,วัฒนา,84214,12.565
42,สวนหลวง,120136,23.678
43,สะพานสูง,93854,28.125
44,สัมพันธวงศ์,25694,1.416
45,สาทร,81745,9.326
46,สายไหม,197715,44.615
47,หนองแขม,154389,35.825
48,หนองจอก,165281,236.261
49,หลักสี่,106657,22.841
50,ห้วยขวาง,80735,15.033
